Sequence Id,Country,ethnic_info,structure_population
ST182,UK,-,hspEAsia
ST183,UK,-,hspWAfrica1
ST184,UK,Bangladeshi,hpEurope
ST185,UK,Bangladeshi,hpEurope
ST186,UK,Bangladeshi,hpEurope
ST187,UK,Bangladeshi,hpEurope
ST188,UK,Bangladeshi,hpEurope
ST189,UK,Bangladeshi,hpEurope
ST190,UK,Bangladeshi,hpEurope
ST191,UK,Bangladeshi,hpEurope
ST192,UK,Bangladeshi,hpEurope
ST193,Italy,-,hpEurope
ST194,Italy,-,hpEurope
ST195,Italy,-,hpEurope
ST196,Italy,-,hpEurope
ST197,Italy,-,hpEurope
ST198,Italy,-,hpEurope
ST199,USA,white,hspWAfrica1
ST200,USA,white,hpEurope
ST201,USA,white,hpEurope
ST202,USA,white,hspWAfrica1
ST203,USA,white,hspWAfrica1
ST204,USA,Black,hpEurope
ST205,USA,Black,hpEurope
ST206,USA,Black,hpEurope
ST207,USA,Black,hspWAfrica1
ST208,USA,Black,hspWAfrica1
ST209,USA,Black,hspWAfrica1
ST210,USA,Black,hspWAfrica1
ST211,USA,Black,hspWAfrica1
ST212,USA,Black,hspWAfrica1
ST213,USA,Black,hspWAfrica1
ST214,USA,Black,hspWAfrica1
ST215,USA,Black,hspWAfrica1
ST216,USA,Black,hspWAfrica1
ST217,Colombia,Mestizo,hpEurope
ST218,Colombia,Mestizo,hpEurope
ST219,Colombia,Mestizo,hpEurope
ST220,Colombia,Mestizo,hpEurope
ST221,Colombia,Mestizo,hpEurope
ST222,Colombia,Mestizo,hpEurope
ST223,Colombia,Mestizo,hpEurope
ST224,Colombia,Mestizo,hpEurope
ST225,Colombia,Mestizo,hpEurope
ST226,Colombia,Mestizo,hpEurope
ST227,Colombia,Mestizo,hpEurope
ST228,Colombia,Mestizo,hspWAfrica1
ST229,Guatemala,Black,hspWAfrica1
ST230,Peru,Japanese,hspEAsia
ST231,Canada,Athabaskan,hspAmerind
ST231,Canada,Athabaskan,hspAmerind
ST231,Canada,Athabaskan,hspAmerind
ST232,Canada,Athabaskan,hspAmerind
ST233,Canada,Athabaskan,hspAmerind
ST234,Canada,Athabaskan,hspAmerind
ST235,USA,Inuit,hpEurope
ST236,USA,Inuit,hpEurope
ST237,USA,Inuit,hpEurope
ST238,USA,Inuit,hspAmerind
ST239,USA,Inuit,hspAmerind
ST240,USA,Inuit,hspAmerind
ST240,USA,Inuit,hspAmerind
ST241,USA,Inuit,hspAmerind
ST242,USA,Inuit,hspAmerind
ST243,USA,Inuit,hspAmerind
ST244,USA,Inuit,hspAmerind
ST245,USA,Inuit,hpEurope
ST246,USA,Inuit,hspAmerind
ST247,Colombia,Huitoto,hpEurope
ST248,Colombia,Huitoto,hpEurope
ST249,Colombia,Huitoto,hpEurope
ST250,Colombia,Huitoto,hpEurope
ST251,Colombia,Huitoto,hpEurope
ST252,Colombia,Huitoto,hpEurope
ST253,Colombia,Huitoto,hpEurope
ST254,Colombia,Huitoto,hpEurope
ST255,Colombia,Huitoto,hpEurope
ST256,Colombia,Huitoto,hpEurope
ST257,Colombia,Huitoto,hpEurope
ST258,Colombia,Huitoto,hpEurope
ST259,Colombia,Huitoto,hspAmerind
ST260,Colombia,Huitoto,hspAmerind
ST261,Colombia,Huitoto,hspAmerind
ST262,Colombia,Huitoto,hspAmerind
ST263,Venezuela,Piaroa,hpEurope
ST264,Venezuela,Piaroa,hpEurope
ST265,Venezuela,Piaroa,hspAmerind
ST266,Venezuela,Piaroa,hspWAfrica1
ST267,South Africa,white,hpEurope
ST268,South Africa,white,hpEurope
ST269,South Africa,white,hpEurope
ST270,South Africa,white,hpEurope
ST271,South Africa,white,hpEurope
ST272,South Africa,white,hpEurope
ST273,South Africa,white,hpEurope
ST274,South Africa,white,hpEurope
ST275,South Africa,white,hpEurope
ST276,South Africa,white,hpEurope
ST277,South Africa,white,hspSAfrica1
ST278,South Africa,white,hspSAfrica1
ST279,South Africa,white,hspSAfrica1
ST280,South Africa,white,hspSAfrica1
ST281,South Africa,white,hspSAfrica1
ST282,South Africa,white,hspSAfrica1
ST283,South Africa,white,hspSAfrica1
ST284,South Africa,white,hspSAfrica1
ST285,South Africa,white,hspSAfrica1
ST286,South Africa,white,hpAfrica2
ST287,South Africa,white,hpAfrica2
ST288,South Africa,white,hpAfrica2
ST289,South Africa,Indian,hpEurope
ST290,South Africa,black,hpEurope
ST291,South Africa,black,hpEurope
ST292,South Africa,black,hspSAfrica1
ST293,South Africa,black,hspSAfrica1
ST294,South Africa,black,hspSAfrica1
ST295,South Africa,black,hspSAfrica1
ST296,South Africa,black,hspSAfrica1
ST297,South Africa,black,hspSAfrica1
ST298,South Africa,black,hspSAfrica1
ST299,South Africa,black,hspSAfrica1
ST299,South Africa,black,hspSAfrica1
ST300,South Africa,black,hspSAfrica1
ST301,South Africa,black,hspSAfrica1
ST302,South Africa,black,hspSAfrica1
ST303,South Africa,black,hspSAfrica1
ST304,South Africa,black,hspSAfrica1
ST305,South Africa,black,hspSAfrica1
ST306,South Africa,black,hspSAfrica1
ST307,South Africa,black,hspSAfrica1
ST308,South Africa,black,hspSAfrica1
ST309,South Africa,black,hpAfrica2
ST310,South Africa,black,hpAfrica2
ST311,South Africa,black,hpAfrica2
ST312,South Africa,black,hpAfrica2
ST313,South Africa,black,hpAfrica2
ST314,South Africa,black,hpAfrica2
ST315,South Africa,black,hpAfrica2
ST316,South Africa,cape coloured,hpEurope
ST317,South Africa,cape coloured,hpEurope
ST318,South Africa,cape coloured,hpEurope
ST319,South Africa,cape coloured,hpEurope
ST320,South Africa,cape coloured,hspWAfrica1
ST321,South Africa,cape coloured,hspWAfrica1
ST322,South Africa,cape coloured,hspWAfrica1
ST322,South Africa,black,hspWAfrica1
ST323,South Africa,cape coloured,hspWAfrica1
ST324,South Africa,cape coloured,hspWAfrica1
ST325,South Africa,cape coloured,hspWAfrica1
ST326,South Africa,cape coloured,hspSAfrica1
ST327,South Africa,cape coloured,hspSAfrica1
ST328,South Africa,cape coloured,hspSAfrica1
ST329,South Africa,cape coloured,hspSAfrica1
ST330,South Africa,cape coloured,hspSAfrica1
ST331,South Africa,cape coloured,hspSAfrica1
ST332,South Africa,cape coloured,hspSAfrica1
ST333,South Africa,cape coloured,hspSAfrica1
ST334,South Africa,cape coloured,hspSAfrica1
ST335,South Africa,cape coloured,hspSAfrica1
ST336,South Africa,cape coloured,hspSAfrica1
ST337,South Africa,cape coloured,hspSAfrica1
ST338,South Africa,cape coloured,hspSAfrica1
ST339,South Africa,cape coloured,hspSAfrica1
ST340,South Africa,cape coloured,hspSAfrica1
ST341,South Africa,cape coloured,hspSAfrica1
ST342,South Africa,cape coloured,hspSAfrica1
ST343,South Africa,cape coloured,hspSAfrica1
ST344,South Africa,cape coloured,hspSAfrica1
ST345,South Africa,cape coloured,hspSAfrica1
ST346,South Africa,cape coloured,hspSAfrica1
ST347,South Africa,cape coloured,hspSAfrica1
ST348,South Africa,cape coloured,hspSAfrica1
ST349,South Africa,cape coloured,hspSAfrica1
ST350,South Africa,cape coloured,hspSAfrica1
ST351,Gambia,-,hspWAfrica1
ST352,Burkina Faso,-,hspWAfrica1
ST353,Burkina Faso,-,hspWAfrica1
ST354,Burkina Faso,-,hspWAfrica1
ST355,Burkina Faso,-,hspWAfrica1
ST356,Burkina Faso,-,hspWAfrica1
ST357,Burkina Faso,-,hspWAfrica1
ST358,Burkina Faso,-,hspWAfrica1
ST358,Burkina Faso,-,hspWAfrica1
ST358,Burkina Faso,-,hspWAfrica1
ST359,Burkina Faso,-,hspWAfrica1
ST360,Burkina Faso,-,hspWAfrica1
ST361,Burkina Faso,-,hspWAfrica1
ST362,Burkina Faso,-,hspWAfrica1
ST363,Burkina Faso,-,hspWAfrica1
ST364,Senegal,-,hspWAfrica1
ST365,Senegal,-,hspWAfrica1
ST366,Senegal,-,hspWAfrica1
ST367,Senegal,-,hspWAfrica1
ST368,Senegal,-,hspWAfrica1
ST369,Sudan,Arabic,hpEurope
ST369,Sudan,Arabic,hpEurope
ST370,Sudan,Dengue tribe,hpEurope
ST371,India,Buddhist,-
ST371,India,Buddhist,-
ST372,India,Buddhist,-
ST373,India,Buddhist,-
ST374,India,Buddhist,-
ST375,India,Buddhist,-
ST376,India,Buddhist,-
ST377,India,Buddhist,-
ST378,India,Buddhist,-
ST379,India,Buddhist,-
ST380,India,Buddhist,-
ST381,India,Buddhist,-
ST382,India,Buddhist,-
ST383,India,Buddhist,-
ST384,India,Buddhist,-
ST385,India,Buddhist,-
ST386,India,Buddhist,-
ST387,India,Buddhist,-
ST387,India,Muslim,-
ST388,India,Buddhist,-
ST389,India,Buddhist,-
ST390,India,Buddhist,-
ST391,India,Buddhist,-
ST392,India,Buddhist,-
ST393,India,Buddhist,-
ST394,India,Buddhist,-
ST395,India,Buddhist,-
ST396,India,Buddhist,-
ST397,India,Buddhist,-
ST398,India,Buddhist,-
ST399,India,Buddhist,-
ST400,India,Buddhist,-
ST401,India,Buddhist,-
ST402,China,Asian,-
ST403,China,Asian,-
ST404,China,-,-
ST405,China,-,-
ST406,China,-,-
ST407,China,-,-
ST408,China,-,-
ST409,China,-,-
ST410,China,-,-
ST411,China,-,-
ST412,China,-,-
ST413,China,-,-
ST414,China,-,-
ST415,New Caledonia,Polynesian,hpEurope
ST474,Philippines,-,hspWAfrica
ST478,Taiwan,Chinese,hspEAsia
ST479,Taiwan,Chinese,hspEAsia
ST481,Papua New Guinea,Highlander,hpSahul
ST482,Papua New Guinea,Highlander,hpSahul
ST483,Spain,Basque,hpEurope
ST494,China,Chinese,hpEurope
ST495,Spain,Basque,hpEurope
ST496,Morocco,-,hspWAfrica
ST497,China,Chinese,hspEAsia
ST498,Taiwan,Native Taiwanese,hspMaori
ST499,Lebanon,Lebanese,hpEurope
ST500,China,Chinese,hpEurope
ST501,South Africa,-,hpAfrica2
ST502,South Africa,-,hpAfrica
ST502,South Africa,-,hpAfrica
ST503,South Africa,-,hpAfrica2
ST504,South Africa,-,hpEurope
ST504,South Africa,-,hpEurope
ST505,South Africa,-,hpAfrica2
ST506,South Africa,-,hpAfrica
ST506,South Africa,-,hpAfrica
ST507,South Africa,-,hpAfrica2
ST507,South Africa,-,hpAfrica2
ST508,South Africa,-,hpAfrica
ST508,South Africa,-,hpAfrica
ST509,South Africa,-,hpEurope
ST509,South Africa,-,hpEurope
ST510,South Africa,-,hpAfrica2
ST511,South Africa,-,hpEurope
ST511,South Africa,-,hpEurope
ST512,South Africa,-,hpAfrica2
ST512,South Africa,-,hpAfrica2
ST513,South Africa,-,hpAfrica2
ST514,South Africa,-,hpAfrica
ST514,South Africa,-,hpAfrica
ST514,South Africa,-,hpAfrica
ST514,South Africa,-,hpAfrica
ST514,South Africa,-,hpAfrica
ST514,South Africa,-,hpAfrica
ST514,South Africa,-,hpAfrica
ST515,South Africa,-,hpAfrica2
ST516,South Africa,-,hpEurope
ST516,South Africa,-,hpEurope
ST517,South Africa,-,hpAfrica2
ST518,South Africa,-,hpAfrica2
ST519,South Africa,-,hpAfrica2
ST520,South Africa,-,hpAfrica2
ST521,South Africa,-,hpAfrica-Europa
ST521,South Africa,-,hpAfrica-Europa
ST522,South Africa,-,hpAfrica
ST523,South Africa,-,hpEurope
ST524,South Africa,-,hpAfrica
ST525,South Africa,-,hpAfrica2
ST526,South Africa,-,hpAfrica2
ST527,South Africa,-,hpAfrica2
ST528,South Africa,-,hpAfrica
ST529,South Africa,-,hpAfrica
ST530,South Africa,-,hpEurope
ST530,South Africa,-,hpEurope
ST530,South Africa,-,hpEurope
ST532,Russia,Russian,hpEurope
ST533,USA,-,hpEurope
ST534,South Africa,-,hpAfrica
ST535,USA,-,hpEurope
ST536,USA,-,hpEurope
ST536,USA,-,hpEurope
ST537,USA,-,hpEurope
ST538,USA,-,hpEurope
ST539,USA,-,hpEurope
ST540,USA,-,hpEurope
ST541,USA,-,hpEurope
ST542,USA,-,hpEurope
ST543,Colombia,-,hpEurope
ST544,Colombia,-,hpAfrica1
ST545,Colombia,-,hpEurope
ST546,Colombia,-,hpEurope
ST546,Colombia,-,hpEurope
ST547,Colombia,-,hpEurope
ST548,Colombia,-,hpEurope
ST549,Colombia,-,hpEurope
ST550,Korea,-,hpEAsia
ST551,Korea,-,hpEAsia
ST551,Korea,-,hpEAsia
