Sequence Id,Sample Id,Location,Location+Start
DQ203441.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203440.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203437.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203436.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203434.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203433.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203431.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203428.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203426.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203424.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203423.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203420.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203416.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203414.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203413.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203410.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203406.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203405.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203404.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203403.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203400.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203398.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203395.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203394.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203392.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203391.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203390.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203389.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203388.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203387.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203385.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203384.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203383.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203381.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203378.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203376.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203373.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203370.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203369.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203368.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203367.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203365.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203364.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203363.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203362.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203360.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203357.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203350.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203347.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203345.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ203341.1,Med0_May03,Mediterranean Sea,Med-Strat
DQ422240.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422239.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422238.1,Outgroup,X,X
DQ422235.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422234.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422232.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422231.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422228.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422227.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422225.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422217.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422209.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422207.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422203.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422195.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422189.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422187.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422186.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422179.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422170.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422169.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422165.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422159.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422241.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422237.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422236.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422233.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422230.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422229.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422226.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422224.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422223.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422222.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422221.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422220.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422219.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422218.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422216.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422215.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422214.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422213.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422212.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422211.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422210.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422208.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422206.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422205.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422204.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422202.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422201.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422200.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422199.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422198.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422197.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
