Sequence Id,Sample Id,Location,Location+Start
DQ422288.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422282.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422281.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422277.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422276.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422271.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422268.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422265.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422261.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422259.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422253.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422248.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422244.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422344.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422343.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422342.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422341.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422340.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422339.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422338.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422337.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422336.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422335.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422334.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422333.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422331.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422330.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422329.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422327.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422326.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422325.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422324.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422323.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422322.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422320.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422316.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422315.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422314.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422312.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422310.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422309.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422308.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422307.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422305.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422303.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422302.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422300.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422299.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422297.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422296.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422295.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422294.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422293.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422292.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422291.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422290.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422289.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422287.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422286.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422285.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422284.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422283.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422280.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422279.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422278.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422275.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422274.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422273.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422272.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422270.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422269.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422267.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422266.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422264.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422263.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422262.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422260.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422258.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422257.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422256.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422255.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422254.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422252.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422251.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422250.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422249.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422247.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422246.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422245.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422243.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422242.1,Med20_Jan06,Mediterranean Sea,Med-Mixed
DQ422368.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422366.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422447.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422441.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422438.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422435.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422425.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422423.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422422.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422419.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422418.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422415.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422408.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422403.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422401.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422399.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422389.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422388.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422387.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422384.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422382.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422379.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422378.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422360.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422350.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422367.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422446.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422445.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422444.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422443.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422442.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422440.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422439.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422437.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422436.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422434.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422433.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422432.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422431.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422430.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422429.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422428.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422427.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422426.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422424.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422421.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422420.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422417.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422416.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422414.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422413.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422412.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422411.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422410.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422409.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422407.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422406.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422405.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422404.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422402.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422400.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422398.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422397.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422396.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422395.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422394.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422393.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422392.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422391.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422390.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422386.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422385.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422383.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422381.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422380.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422377.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422376.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422375.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422374.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422373.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422372.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422371.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422370.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422369.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422365.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422364.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422363.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422362.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422361.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422359.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422358.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422357.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422356.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422355.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422354.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422353.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422352.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422351.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422349.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422348.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422347.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422346.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ422345.1,Med50_Jan06,Mediterranean Sea,Med-Mixed
DQ203734.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203733.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203731.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203726.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203723.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203721.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203720.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203708.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203707.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203703.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203700.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203699.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203692.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203690.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203689.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203688.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203686.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203685.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203682.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203681.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203680.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203678.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203673.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203665.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203662.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203661.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203732.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203730.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203729.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203728.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203727.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203725.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203724.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203722.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203719.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203718.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203717.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203716.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203715.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203714.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203713.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203712.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203711.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203710.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203709.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203706.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203705.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203704.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203702.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203701.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203698.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203697.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203696.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203695.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203694.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203693.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203691.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203687.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203684.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203683.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203679.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203677.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203676.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203675.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203674.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203672.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203671.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203670.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203669.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203668.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203667.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203666.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203664.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203663.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203660.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203659.1,Med55_May03,Mediterranean Sea,Med-Strat
DQ203790.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203789.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203788.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203786.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203785.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203783.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203782.1,Outgroup,X,X
DQ203781.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203780.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203777.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203776.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203775.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203774.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203773.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203771.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203770.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203769.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203767.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203766.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203764.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203763.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203760.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203758.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203757.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203756.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203755.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203754.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203753.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203752.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203751.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203750.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203748.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203746.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203745.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203742.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203740.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203739.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203738.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203736.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203735.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203793.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203792.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203791.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203787.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203784.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203779.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203778.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203772.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203768.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203765.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203762.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203761.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203759.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203749.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203747.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203744.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203743.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203741.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ203737.1,Sar0_Mar98,Sargasso Sea,Sar-Mixed
DQ339245.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339241.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339237.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339236.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339235.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339227.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339224.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339212.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339206.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339200.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339198.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339194.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339193.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339192.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339188.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339187.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339186.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339185.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339183.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339180.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339177.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339171.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339170.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339163.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339249.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339248.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339247.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339244.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339243.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339242.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339240.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339239.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339238.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339234.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339233.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339232.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339231.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339230.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339229.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339228.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339226.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339225.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339223.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339222.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339221.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339220.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339219.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339218.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339217.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339216.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339215.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339214.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339213.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339211.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339210.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339209.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339208.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339207.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339205.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339204.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339203.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339202.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339201.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339199.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339197.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339196.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339195.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339191.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339190.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339189.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339184.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339182.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339181.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339179.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
DQ339178.1,Sar0_Jul98,Sargasso Sea,Sar-Strat
